id,user_login,description,place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
63230414,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Picea pungens,blue spruce,Plantae,119092
63230460,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Elaeagnus reflexa,,Plantae,410339
63230542,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Berberis thunbergii,Japanese barberry,Plantae,58727
63230606,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Platanus × hispanica,London Plane,Plantae,552449
63230633,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Humulus lupulus,common hops,Plantae,53779
63230661,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL",Coccinelle à sept points,Coccinella septempunctata,Seven-spotted Lady Beetle,Insecta,51702
63230711,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL",Varis,Corvus cornix,Hooded Crow,Aves,144757
63230779,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Cornus sericea,red osier dogwood,Plantae,53387
63230796,kinga_mazur,"","Marii Rodziewiczówny, Warszawa, Mazowieckie, PL","",Corvus frugilegus,Rook,Aves,8029
63230828,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Baccharis latifolia,,Plantae,534316
63230877,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Betula pendula,silver birch,Plantae,83992
63230905,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Pinus sylvestris,Scots pine,Plantae,58722
63230960,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL",Gendarme,Pyrrhocoris apterus,European Firebug,Insecta,55610
63231000,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL","",Platycladus orientalis,Chinese arborvitae,Plantae,135659
63231033,kinga_mazur,"","Łukowska, Warszawa, Mazowieckie, PL",Winged and Once-winged Insects,Pterygota,Winged and Once-winged Insects,Insecta,184884
