id,user_login,description,place_guess,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
62628081,rzuczek,,"01-864 Warszawa, Polska",Hausmutter,Noctua pronuba,Large Yellow Underwing,Insecta,81687
62794862,rzuczek,"","Las Bielański, Warszawa, Polska",Grzybówka Hełmiasta,Mycena galericulata,common bonnet,Fungi,63446
62794864,rzuczek,"","Las Bielański, Warszawa, Polska",Borowikowate,Boletaceae,boletes,Fungi,48702
62794865,rzuczek,"","Las Bielański, Warszawa, Polska",Purchawka Gruszkowata,Apioperdon pyriforme,Pear-shaped Puffball,Fungi,972793
62794866,rzuczek,"","Las Bielański, Warszawa, Polska",Gąsówka Fioletowawa,Lepista nuda,Blewit,Fungi,351380
62794868,rzuczek,"","Las Bielański, Warszawa, Polska",Drobnołuszczak Jeleni,Pluteus cervinus,deer mushroom,Fungi,60782
62794869,rzuczek,"","Las Bielański, Warszawa, Polska",Vesse-de-loup perlée,Lycoperdon perlatum,common puffball,Fungi,48443
62794871,rzuczek,"","Las Bielański, Warszawa, Polska",Apioperdon,Apioperdon,,Fungi,972792
62794873,rzuczek,"","Las Bielański, Warszawa, Polska",Kruchaweczkowate,Psathyrellaceae,,Fungi,56310
62794874,rzuczek,"","Las Bielański, Warszawa, Polska",Schizophylle commun,Schizophyllum commune,splitgill mushroom,Fungi,54573
62794875,rzuczek,"","Las Bielański, Warszawa, Polska",Podstawczaki,Basidiomycota,Basidiomycete Fungi,Fungi,47169
62794878,rzuczek,"","Las Bielański, Warszawa, Polska",Czernidłak,Coprinus,inky caps,Fungi,47393
62794879,rzuczek,"","Las Bielański, Warszawa, Polska",Czubajka Kania,Macrolepiota procera,Parasol,Fungi,63401
62794880,rzuczek,"","Las Bielański, Warszawa, Polska",Pniarek,Fomitopsis,,Fungi,118056
62794883,rzuczek,"","Las Bielański, Warszawa, Polska",Grzybówka Hełmiasta,Mycena galericulata,common bonnet,Fungi,63446
62794884,rzuczek,"","Las Bielański, Warszawa, Polska",Matacandiles y parasoles,Macrolepiota,,Fungi,63402
62794885,rzuczek,"","Las Bielański, Warszawa, Polska",Hongo de codorniz,Macrolepiota procera,Parasol,Fungi,63401
62794887,rzuczek,"","Las Bielański, Warszawa, Polska",Pieczarkowate,Agaricaceae,"field mushrooms, puffballs, and allies",Fungi,47394
62796725,rzuczek,,"Las Bielański, Warszawa, Polska",boxelder maple,Acer negundo,boxelder maple,Plantae,47726
62796727,rzuczek,,"Las Bielański, Warszawa, Polska",Dąb Szypułkowy,Quercus robur,pedunculate oak,Plantae,56133
62796728,rzuczek,,"Las Bielański, Warszawa, Polska",Brzoza,Betula,birches,Plantae,49156
62796733,rzuczek,,"Las Bielański, Warszawa, Polska",Lipa Drobnolistna,Tilia cordata,Small-leaved Lime,Plantae,132600
62796734,rzuczek,,"Las Bielański, Warszawa, Polska",Grab Pospolity,Carpinus betulus,European Hornbeam,Plantae,55801
62796736,rzuczek,,"Las Bielański, Warszawa, Polska",Trzemielina Pospolita,Euonymus europaeus,Spindle,Plantae,55847
62796740,rzuczek,,"Las Bielański, Warszawa, Polska",Klon,Acer,maples,Plantae,47727
62796741,rzuczek,,"Las Bielański, Warszawa, Polska",Robinia Akacjowa,Robinia pseudoacacia,black locust,Plantae,56088
62796744,rzuczek,,"Las Bielański, Warszawa, Polska",Сосна обыкновенная,Pinus sylvestris,Scots pine,Plantae,58722
62796747,rzuczek,,"Las Bielański, Warszawa, Polska",Dąb,Quercus,oaks,Plantae,47851
62796749,rzuczek,,"Las Bielański, Warszawa, Polska",Głóg,Crataegus,hawthorns,Plantae,51148
62796751,rzuczek,,"Las Bielański, Warszawa, Polska",Szakłak Pospolity,Rhamnus cathartica,common buckthorn,Plantae,54811
62796753,rzuczek,,"Las Bielański, Warszawa, Polska",northern red oak,Quercus rubra,northern red oak,Plantae,49005
62796757,rzuczek,,"Las Bielański, Warszawa, Polska",Głóg,Crataegus,hawthorns,Plantae,51148
62796758,rzuczek,,"Las Bielański, Warszawa, Polska",European mountain ash,Sorbus aucuparia,European mountain ash,Plantae,56063
62796760,rzuczek,,"Las Bielański, Warszawa, Polska",Scots pine,Pinus sylvestris,Scots pine,Plantae,58722
62796761,rzuczek,,"Las Bielański, Warszawa, Polska",Norway maple,Acer platanoides,Norway maple,Plantae,54763
62798767,rzuczek,,"Las Bielański, Warszawa, Polska",Bluszcz,Hedera,ivies,Plantae,55883
62798768,rzuczek,,"Las Bielański, Warszawa, Polska",Ligustr Pospolity,Ligustrum vulgare,Common Privet,Plantae,119805
62798770,rzuczek,,"Las Bielański, Warszawa, Polska",Babka Zwyczajna,Plantago major,greater plantain,Plantae,58961
62798771,rzuczek,,"Las Bielański, Warszawa, Polska",European lily of the valley,Convallaria majalis,European lily of the valley,Plantae,48206
62798772,rzuczek,,"Las Bielański, Warszawa, Polska",Cypress-leaved Plait-moss,Hypnum cupressiforme,Cypress-leaved Plait-moss,Plantae,163992
62798774,rzuczek,,"Las Bielański, Warszawa, Polska",Jasnotowate,Lamiaceae,mint family,Plantae,48623
62798775,rzuczek,,"Las Bielański, Warszawa, Polska",stinging nettle,Urtica dioica,stinging nettle,Plantae,51884
62798776,rzuczek,,"Las Bielański, Warszawa, Polska",Kłosownica Leśna,Brachypodium sylvaticum,Slender False Brome,Plantae,75865
62798777,rzuczek,,"Las Bielański, Warszawa, Polska",Spotted deadnettle,Lamium maculatum,Spotted deadnettle,Plantae,55828
62798778,rzuczek,,"Las Bielański, Warszawa, Polska",Rokiet,Hypnum,,Plantae,124458
62798779,rzuczek,,"Las Bielański, Warszawa, Polska",Jesion,Fraxinus,ashes,Plantae,54806
62798782,rzuczek,,"Las Bielański, Warszawa, Polska",Bluszczyk Kurdybanek,Glechoma hederacea,ground-ivy,Plantae,55830
62798783,rzuczek,,"Las Bielański, Warszawa, Polska",Skórnik Szorstki,Stereum hirsutum,hairy curtain crust,Fungi,55501
62798784,rzuczek,,"Las Bielański, Warszawa, Polska",small balsam,Impatiens parviflora,small balsam,Plantae,51736
62798785,rzuczek,,"Las Bielański, Warszawa, Polska",Krwawnik Pospolity,Achillea millefolium,common yarrow,Plantae,52821
62798786,rzuczek,,"Las Bielański, Warszawa, Polska",Koniczyna Biała,Trifolium repens,white clover,Plantae,55745
62798788,rzuczek,,"Las Bielański, Warszawa, Polska",Lepnica Biała,Silene latifolia,white campion,Plantae,79109
62798789,rzuczek,,"Las Bielański, Warszawa, Polska",Dziewanna,Verbascum,mulleins,Plantae,56165
62798790,rzuczek,,"Las Bielański, Warszawa, Polska",Krwawnik Pospolity,Achillea millefolium,common yarrow,Plantae,52821
62798791,rzuczek,,"Las Bielański, Warszawa, Polska",Astereae,Astereae,asters and allies,Plantae,461542
62798792,rzuczek,,"Las Bielański, Warszawa, Polska",Chaber Łąkowy,Centaurea jacea,Brown Knapweed,Plantae,55713
62798793,rzuczek,,"Las Bielański, Warszawa, Polska",Dziewanna Drobnokwiatowa,Verbascum thapsus,great mullein,Plantae,59029
62798794,rzuczek,,"Las Bielański, Warszawa, Polska",Szczaw Zwyczajny,Rumex acetosa,Common Sorrel,Plantae,55821
62798795,rzuczek,,"Las Bielański, Warszawa, Polska",Psianka,Solanum,nightshades,Plantae,50641
62798797,rzuczek,,"Las Bielański, Warszawa, Polska",Bylica Pospolita,Artemisia vulgaris,common mugwort,Plantae,52856
62798799,rzuczek,,"Las Bielański, Warszawa, Polska",wood ferns,Dryopteris,wood ferns,Plantae,52672
62798800,rzuczek,,"Las Bielański, Warszawa, Polska",Rabelera,Rabelera,,Plantae,1024535
62798801,rzuczek,,"Las Bielański, Warszawa, Polska",Poziomka Pospolita,Fragaria vesca,Wild strawberry,Plantae,50298
62798803,rzuczek,,"Las Bielański, Warszawa, Polska",Miodunka,Pulmonaria,lungworts,Plantae,125137
